Date,JP-MINA,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_DG_OFS_00033,KR_DG_ONS_00028,KR_IB_49,SG_DG_ONS_00055,TW1
1/23/2025 0:00,72623.97,721,1186.13,387.19,3900.2,3378.72,3182.1,3353.22,3166.66,2278.86,697.64,2191.62,3380.55,3189.19,1668.84,0,3792.45,2125.78,10493,860.58,3460.32,1911.69,336.37,2211.03,181.13,0,922,41059.27,3454.98,1840.41,7190.2,183.28,337.27,3341.82,3310.04,1042.78,346.28,995.13,3421.69,141.76,3177.82,3316.52,383.26,386,347.85,345.38,346.46,165.42,0,0,373780,1722.38,104898
1/24/2025 0:00,79454.54,978,1592.1,452.53,4038.04,4119.58,3624.28,4298.55,3850.4,3255.42,869.11,2682.15,3811.71,3980.62,1717.74,0,4219.21,1511.45,10301,1066.53,3539.44,2064.64,344.82,3064.92,178.5,0,1250,41228.84,4226.53,2039.07,10478.9,240.71,351.5,4249.9,3785.14,807.49,582.15,1028.18,4353.47,159.9,3403.51,3600.67,445.97,448,374.64,370.98,369.39,219.12,0,0,398563,947.62,92613
1/25/2025 0:00,49022.38,971,1365.5,442.99,3955.61,4226.91,3767.36,4407.83,3957.73,4197.26,908.83,2780.63,4365.4,4002.1,1849.24,0,2816.93,2150.49,11163,1092.46,2144.22,1710.26,210.67,2884.1,189.3,0,1242,44856.1,4354.34,2022.14,11332.5,244.12,226.98,4345.45,3951.94,1119.76,1496.63,1116.99,4381.26,163.46,2971.42,3263.21,445.15,447,362.9,358.42,361.27,224.4,0,0,420953,2390.58,84980
1/26/2025 0:00,27125.8,306,523.8,141.32,1523.97,1550.46,1473.82,1724.3,1598.05,1969.33,326.23,1160.82,1607.48,1559.01,495.87,0,2309.2,870.45,4874,496.23,1640.48,973.32,160.84,833.93,89.09,0,392,16352.3,1619.83,880.71,4929.8,106.14,171.2,1701.37,1492.87,437.63,520.78,413.89,1451.02,83.03,1432.73,1461.45,155.77,156,165.31,164.4,165.54,95.21,0,0,120580,2166.36,80015
1/27/2025 0:00,15115.87,355,737.92,262.81,2801.17,3036.08,2831.67,2982.87,2787.3,1406.55,486.05,1603.61,2376.51,2571.26,494.13,0,1916.44,723.65,6106,756.49,422.59,978.35,55.43,1371.88,143.84,0,452,22142.1,3148.54,213.11,6092.9,145.9,48.5,2888.36,2929.33,360.52,572.37,521.19,2714.06,129.66,2153.72,2140.34,275.07,275,282.47,280.05,281.55,149.25,0,0,284352,1801.19,34674.58237
1/28/2025 0:00,8974.23,421,836.05,254.36,1816.2,3588.2,0,3713.69,3362.55,565.82,302.83,859.66,2430.97,2697.25,100.24,0,1076.78,533.56,4,911.59,1271.25,868.74,166.89,551.47,83.47,0,495,12859.1,3663.18,160.86,21.8,176.85,153.02,3668.2,3248.24,367.39,581.74,659.35,2108.71,153.67,548.5,199.31,233.79,211,212.32,209.41,210.09,192.54,0,0,274309,2684.59,84208
1/29/2025 0:00,10877.79,287,328.78,262.45,2239.15,1539.02,0,1711.58,1183.03,2507.32,159.11,145.37,2184.72,999.19,744.32,0,3422.96,816.91,1,177.81,3647.57,850.68,364.4,865.34,119.72,0,343,23563.4,1501.34,91.23,1.5,20.91,367.42,1897.51,929.22,431.36,628.84,246.81,1335.87,33.13,1898.99,1472.58,238.35,233,273.19,268.44,265.37,78.44,0,0,317825,2348.77,97119
1/30/2025 0:00,75431.3,1014,1668.72,466.18,4696.2,4629.48,0,4776.86,4309.94,4712.61,915.49,2636.99,4243.03,4039.5,1857.84,0,4234.27,2475.46,244,1045.44,3191.87,1792.55,314.09,3376.32,212.13,0,1300,49107.1,4806.75,687.97,537.2,225.63,317.38,4241.85,4147.65,1336.91,1735.48,777.33,4450.23,175.08,4026.77,4247.82,474.46,477,436.59,433.27,430.04,226.46,0,0,413620,3792.5,98032
1/31/2025 0:00,69093.98,205,361.47,115.62,1304.42,1009.72,0,1039.24,1017.52,1475.55,182.31,642.47,1017.53,1032.71,415.36,0,1966.29,820.05,1870,303.74,1482.19,465.42,145.7,624.17,75.63,0,265,8919.8,1036.3,447.59,3189.4,59.55,144.03,1009.14,1015.79,273.94,435.73,196.52,991.93,56.2,1025.39,1019.51,125.68,126,161.21,159.96,160.94,57.42,0,0,187720,3639.29,44694
2/1/2025 0:00,5458.16,78,111.34,55.26,656.45,608.38,618.1,628.12,633.28,632.36,106.81,397.33,623.22,549.53,293.66,0,549.34,153.24,7436,189.37,1041.63,305.26,103.37,203.9,32.44,23332.56677,95,5550.8,628.18,305.67,7446,37.05,97.05,589.06,616.15,62.19,147.18,130.67,533.82,36.06,781.4,762.79,61.72,62,78.68,77.17,78.72,35.38,0,0,110830,2732.98,107967.4003
